#,"открытого, полного энтузиазма","критичного, склонного спорить",надежного и дисциплинированного,"тревожного, меня легко расстроить","открытого для нового опыта, сложного","замкнутого, тихого","сочувствующего, сердечного","неорганизованного, беспечного","спокойного, эмоционально устойчивого","обыкновенного, не творческого",Ваш пол:,Ваш возраст:,Start Date (UTC),Submit Date (UTC),Network ID
66,5,4,2,6,7,2,6,6,3,4,Женский,30,2016-01-09 20:28:26,2016-01-09 20:29:47,2ed40ff537
45,2,2,1,2,2,4,7,3,3,4,Мужской,21,2016-01-09 20:44:42,2016-01-09 20:45:44,2ed40ff537
22,6,6,5,6,6,2,6,3,3,2,Женский,32,2016-01-16 09:23:34,2016-01-16 09:25:55,9b9bb39e7d
57,6,6,4,2,6,6,4,3,5,6,Мужской,33,2016-01-16 09:27:07,2016-01-16 09:29:12,25fb93d951
39,5,6,6,4,6,4,5,3,3,5,Мужской,34,2016-01-16 09:27:23,2016-01-16 09:32:56,c11cf7b329
30,7,7,7,6,6,5,1,1,3,5,Женский,43,2016-01-16 09:35:24,2016-01-16 09:38:19,9abfa9a31d
54,5,2,5,7,7,5,5,4,2,2,Женский,25,2016-01-16 09:30:24,2016-01-16 09:38:25,ae5566859a
38,4,2,3,2,4,6,6,6,6,3,Мужской,19,2016-01-16 09:35:17,2016-01-16 09:39:11,ccc3890c80
69,5,5,3,6,7,4,3,7,2,2,Мужской,31,2016-01-16 09:40:39,2016-01-16 09:42:34,4905f82fb9
26,3,3,6,5,5,3,5,2,3,5,Женский,22,2016-01-16 09:45:24,2016-01-16 09:48:45,e8e19a2b7b
55,7,6,7,7,6,1,7,1,2,2,Женский,24,2016-01-16 09:56:34,2016-01-16 09:58:35,28308f1e7c
71,2,3,5,6,4,6,6,5,2,4,Мужской,29,2016-01-16 10:05:57,2016-01-16 10:10:55,56d10262b6
40,7,2,1,2,6,1,7,1,6,2,Женский,35,2016-01-16 10:21:25,2016-01-16 10:23:57,fbe83f1416
12,6,3,7,2,6,6,4,3,6,4,Женский,19,2016-01-16 10:31:54,2016-01-16 10:38:42,db14bd8fa5
4,5,6,3,5,5,2,6,5,3,3,Женский,29,2016-01-16 10:56:33,2016-01-16 10:58:40,0e879fe907
41,5,5,4,6,5,4,4,4,3,4,Женский,20,2016-01-16 11:12:14,2016-01-16 11:15:00,2d49346118
46,5,7,5,5,6,2,6,2,3,6,Мужской,21,2016-01-16 11:19:19,2016-01-16 11:21:02,a2b345892e
58,5,5,6,7,6,3,6,3,2,3,Женский,20,2016-01-16 11:21:15,2016-01-16 11:23:48,608d0d268b
8,5,6,4,5,7,3,7,1,3,4,Женский,19,2016-01-16 12:38:25,2016-01-16 12:39:55,f23ab599c3
18,6,3,5,7,7,4,7,2,3,6,Женский,22,2016-01-16 13:00:58,2016-01-16 13:02:55,99138f548f
14,4,6,5,3,4,2,5,2,5,4,Мужской,22,2016-01-16 13:48:54,2016-01-16 13:50:34,24e9ccc32e
50,5,4,6,1,7,2,7,6,2,6,Мужской,21,2016-01-16 13:49:05,2016-01-16 13:51:18,3acfa93700
29,5,6,7,4,5,1,6,1,4,5,Женский,20,2016-01-16 13:49:49,2016-01-16 13:51:35,40a1b00d93
35,3,6,4,6,6,4,4,5,5,2,Мужской,24,2016-01-16 13:50:12,2016-01-16 13:52:06,1a2bed5b7f
7,5,4,3,4,5,3,5,5,4,4,Женский,24,2016-01-16 13:50:54,2016-01-16 13:52:48,15b26f6f1a
82,5,6,5,2,2,4,3,2,7,3,Женский,22,2016-01-16 13:50:23,2016-01-16 13:53:16,e1a02263d7
65,6,4,2,2,6,1,5,2,3,2,Женский,18,2016-01-16 13:59:13,2016-01-16 14:00:20,1a43bdc15f
74,7,4,6,3,6,1,6,3,5,4,Женский,22,2016-01-16 13:59:06,2016-01-16 14:00:34,b21bff7e71
51,3,5,2,6,7,7,6,3,2,1,Женский,29,2016-01-16 14:07:59,2016-01-16 14:10:11,bc543d0634
80,7,6,4,1,7,1,4,4,7,1,Мужской,23,2016-01-16 14:11:59,2016-01-16 14:13:22,903c7ac489
42,4,6,3,5,5,6,2,4,6,2,Мужской,24,2016-01-16 14:17:49,2016-01-16 14:19:30,e6cd028692
10,6,5,5,4,5,5,3,2,5,2,Мужской,31,2016-01-16 14:54:44,2016-01-16 14:56:30,0b46315909
62,2,4,6,5,6,3,5,2,3,5,Мужской,19,2016-01-16 10:32:12,2016-01-16 16:00:41,d7bfc94db7
52,6,6,5,4,5,1,5,4,6,4,Мужской,19,2016-01-16 17:37:02,2016-01-16 17:41:16,e593b029a5
15,5,4,2,3,5,5,2,3,4,4,Женский,23,2016-01-16 17:45:35,2016-01-16 17:48:02,bb8d6bf23d
68,7,7,6,2,6,3,4,4,3,4,Женский,21,2016-01-16 17:50:28,2016-01-16 17:51:57,e4bcc760d7
75,5,7,3,6,6,3,7,6,2,2,Мужской,22,2016-01-16 18:46:38,2016-01-16 18:47:49,eca1ca764a
77,5,6,6,7,6,2,5,2,2,6,Женский,25,2016-01-16 18:46:16,2016-01-16 18:48:09,89ea6fcbdf
23,5,4,6,6,6,1,5,2,2,3,Женский,22,2016-01-16 19:54:34,2016-01-16 19:56:44,931e36ac1c
33,4,3,5,3,6,6,6,5,1,5,Женский,20,2016-01-16 21:19:54,2016-01-16 21:21:13,ad998eb922
56,4,4,3,5,3,2,5,5,5,7,Женский,18,2016-01-16 22:55:16,2016-01-16 22:57:13,661969c2e6
17,6,7,2,1,7,4,6,6,7,2,Мужской,30,2016-01-16 23:54:34,2016-01-16 23:55:45,0c9ea9dd79
21,3,5,6,6,6,7,6,2,5,3,Женский,24,2016-01-17 00:54:16,2016-01-17 00:56:43,dbb0cb8996
76,6,5,5,3,6,2,5,2,5,2,Мужской,20,2016-01-17 06:16:24,2016-01-17 06:18:21,773078effc
1,4,5,2,3,5,5,2,6,3,3,Мужской,29,2016-01-17 08:37:38,2016-01-17 08:42:09,e1ed71ab48
36,7,1,5,6,7,1,6,1,1,1,Женский,42,2016-01-17 10:14:23,2016-01-17 10:26:07,4eb368f408
31,5,3,4,2,5,5,4,5,5,4,Мужской,18,2016-01-17 12:52:56,2016-01-17 12:54:26,66b0d9ba1f
19,7,7,7,4,6,4,7,2,7,1,Мужской,21,2016-01-17 12:55:57,2016-01-17 13:05:15,c5676f72fd
63,2,6,7,5,6,5,6,1,6,5,Женский,50,2016-01-17 13:20:44,2016-01-17 13:22:39,1f4044c5d3
34,5,5,6,4,6,1,5,1,3,5,Женский,21,2016-01-17 13:49:15,2016-01-17 13:51:25,4f1e7d8d97
13,5,6,7,2,4,3,6,1,4,3,Женский,22,2016-01-17 14:10:01,2016-01-17 14:14:51,f742087b00
70,5,6,4,5,6,1,3,5,2,4,Женский,22,2016-01-17 14:38:08,2016-01-17 14:39:51,15160fb570
11,2,6,3,6,6,6,5,2,2,2,Мужской,24,2016-01-17 16:44:19,2016-01-17 16:45:29,08b2b2348f
67,5,7,4,4,4,5,4,5,6,3,Мужской,19,2016-01-17 19:46:37,2016-01-17 19:48:27,4414b00335
28,6,5,6,2,6,2,7,3,4,1,Женский,22,2016-01-17 19:59:13,2016-01-17 20:03:31,6a41b7b12a
78,3,5,5,6,4,7,5,5,5,5,Женский,26,2016-01-17 20:29:54,2016-01-17 20:35:52,a869fa4a59
2,6,4,6,3,5,3,6,4,2,4,Женский,26,2016-01-17 21:01:25,2016-01-17 21:04:06,d76a4a968f
48,4,5,3,7,5,1,6,4,2,1,Женский,25,2016-01-17 21:01:57,2016-01-17 21:05:21,892d03a770
5,5,2,6,5,7,4,6,2,4,1,Женский,25,2016-01-17 21:04:45,2016-01-17 21:07:14,781ddef357
43,3,4,2,7,6,5,6,5,2,2,Женский,25,2016-01-17 21:10:58,2016-01-17 21:14:57,e1c487d2ce
47,5,7,3,6,5,5,6,4,3,3,Мужской,25,2016-01-17 21:01:51,2016-01-17 21:22:57,7d3e064419
59,5,4,4,7,4,2,5,6,1,2,Женский,28,2016-01-17 23:19:55,2016-01-17 23:21:02,1d1e6cb332
44,2,5,3,2,4,5,4,3,6,4,Мужской,20,2016-01-17 23:45:24,2016-01-17 23:48:48,0b5cc02ef7
64,5,3,3,3,6,2,5,5,6,5,Женский,23,2016-01-18 04:32:31,2016-01-18 04:34:21,2ac8704901
72,5,1,7,3,5,3,6,1,6,3,Женский,25,2016-01-18 05:45:50,2016-01-18 05:47:36,0e5af355e7
81,6,6,4,6,4,3,5,5,2,2,Женский,20,2016-01-18 06:28:10,2016-01-18 06:31:03,990f10a516
61,4,7,2,6,7,2,6,5,2,1,Женский,25,2016-01-18 08:57:38,2016-01-18 08:58:56,a8601b7ce3
49,5,6,7,4,1,4,6,4,7,4,Женский,26,2016-01-18 09:53:59,2016-01-18 09:55:48,16dc035c47
37,1,3,3,2,2,2,1,3,4,2,Женский,27,2016-01-18 10:25:07,2016-01-18 10:27:09,dbc6dc4120
24,6,5,4,3,7,2,5,1,4,1,Женский,26,2016-01-18 12:44:46,2016-01-18 12:47:13,f0692efe1e
27,4,4,4,4,4,4,4,4,4,4,Женский,26,2016-01-18 13:16:58,2016-01-18 13:17:58,c0d0379f92
3,2,6,4,4,3,7,4,5,3,3,Мужской,22,2016-01-18 21:03:53,2016-01-18 21:07:34,e331ff1846
25,7,4,6,2,5,5,3,1,7,1,Женский,19,2016-01-19 06:14:20,2016-01-19 06:16:26,db85eca3f9
73,3,5,7,6,7,7,7,2,7,1,Женский,30,2016-01-19 21:27:32,2016-01-19 21:31:00,ba573d4cbc
16,6,3,5,2,2,6,5,5,5,3,Мужской,21,2016-01-20 12:48:32,2016-01-20 12:53:02,decd5c9183
79,4,6,2,7,6,4,5,6,2,1,Мужской,42,2016-01-21 18:34:38,2016-01-21 18:48:25,0c96354857
32,7,7,3,7,7,1,5,7,2,1,Женский,18,2016-01-21 23:38:48,2016-01-21 23:40:29,5e1ec4ae38
